pair_id,timestamp,rgb_frame_idx,thermal_file,thermal_error_ms,rgb_error_ms
pair_00221,2020-09-24 13:13:12.268,5476,log001.txt,0.0,29.995946493727388
pair_00222,2020-09-24 13:13:13.268,5501,log001.txt,0.0,16.61937576005812
pair_00223,2020-09-24 13:13:14.268,5526,log001.txt,0.0,3.242805026360429
pair_00224,2020-09-24 13:13:15.268,5550,log001.txt,0.0,30.401297122040205
pair_00225,2020-09-24 13:13:16.268,5575,log001.txt,0.0,17.024726388342515
pair_00226,2020-09-24 13:13:17.268,5600,log001.txt,0.0,3.6481556546448246
pair_00227,2020-09-24 13:13:18.268,5624,log001.txt,0.0,30.8066477503246
pair_00228,2020-09-24 13:13:19.268,5649,log001.txt,0.0,17.43007701662691
pair_00229,2020-09-24 13:13:20.268,5674,log001.txt,0.0,4.053506282957642
pair_00230,2020-09-24 13:13:21.268,5698,log001.txt,0.0,31.211998378609
pair_00231,2020-09-24 13:13:22.268,5723,log001.txt,0.0,17.835427644939728
pair_00232,2020-09-24 13:13:23.268,5748,log001.txt,0.0,4.458856911242037
pair_00233,2020-09-24 13:13:24.268,5772,log001.txt,0.0,31.61734900689339
pair_00234,2020-09-24 13:13:25.268,5797,log001.txt,0.0,18.240778273224123
pair_00235,2020-09-24 13:13:26.268,5822,log001.txt,0.0,4.864207539526433
pair_00236,2020-09-24 13:13:27.268,5846,log001.txt,0.0,32.02269963520621
pair_00237,2020-09-24 13:13:28.268,5871,log001.txt,0.0,18.64612890150852
pair_00238,2020-09-24 13:13:29.268,5896,log001.txt,0.0,5.26955816783925
pair_00239,2020-09-24 13:13:30.268,5920,log001.txt,0.0,32.428050263490604
pair_00240,2020-09-24 13:13:31.268,5945,log001.txt,0.0,19.051479529821336
pair_00241,2020-09-24 13:13:32.268,5970,log001.txt,0.0,5.6749087961236455
pair_00242,2020-09-24 13:13:33.268,5994,log001.txt,0.0,32.833400891775
pair_00243,2020-09-24 13:13:34.268,6019,log001.txt,0.0,19.45683015810573
pair_00244,2020-09-24 13:13:35.268,6044,log001.txt,0.0,6.080259424408041
pair_00245,2020-09-24 13:13:36.268,6068,log001.txt,0.0,33.23875152008782
pair_00246,2020-09-24 13:13:37.268,6093,log001.txt,0.0,19.862180786390127
pair_00247,2020-09-24 13:13:38.268,6118,log001.txt,0.0,6.485610052720858
pair_00248,2020-09-24 13:13:39.268,6142,log001.txt,0.0,33.64410214837221
pair_00249,2020-09-24 13:13:40.268,6167,log001.txt,0.0,20.267531414702944
pair_00250,2020-09-24 13:13:41.268,6192,log001.txt,0.0,6.890960681005254
pair_00251,2020-09-24 13:13:42.268,6216,log001.txt,0.0,34.04945277665661
pair_00252,2020-09-24 13:13:43.268,6241,log001.txt,0.0,20.67288204298734
pair_00253,2020-09-24 13:13:44.268,6266,log001.txt,0.0,7.296311309289649
pair_00254,2020-09-24 13:13:45.268,6290,log001.txt,0.0,34.454803404969425
pair_00255,2020-09-24 13:13:46.268,6315,log001.txt,0.0,21.07823267127173
pair_00256,2020-09-24 13:13:47.268,6340,log001.txt,0.0,7.701661937574045
pair_00257,2020-09-24 13:13:48.268,6364,log001.txt,0.0,34.86015403325382
pair_00258,2020-09-24 13:13:49.268,6389,log001.txt,0.0,21.483583299584552
pair_00259,2020-09-24 13:13:50.268,6414,log001.txt,0.0,8.107012565915284
pair_00260,2020-09-24 13:13:51.268,6438,log001.txt,0.0,35.265504661538216
pair_00261,2020-09-24 13:13:52.268,6463,log001.txt,0.0,21.888933927868948
pair_00262,2020-09-24 13:13:53.268,6488,log001.txt,0.0,8.51236319419968
pair_00263,2020-09-24 13:13:54.268,6512,log001.txt,0.0,35.67085528982261
pair_00264,2020-09-24 13:13:55.268,6537,log001.txt,0.0,22.294284556153343
pair_00265,2020-09-24 13:13:56.268,6562,log001.txt,0.0,8.917713822484075
pair_00266,2020-09-24 13:13:57.268,6586,log001.txt,0.0,36.07620591816385
pair_00267,2020-09-24 13:13:58.268,6611,log001.txt,0.0,22.69963518443774
pair_00268,2020-09-24 13:13:59.268,6636,log001.txt,0.0,9.32306445076847
pair_00269,2020-09-24 13:14:00.268,6660,log001.txt,0.0,36.481556546448246
pair_00270,2020-09-24 13:14:01.268,6685,log001.txt,0.0,23.10498581272213
pair_00271,2020-09-24 13:14:02.268,6710,log001.txt,0.0,9.728415079052866
pair_00272,2020-09-24 13:14:03.268,6734,log001.txt,0.0,36.88690717473264
pair_00273,2020-09-24 13:14:04.268,6759,log001.txt,0.0,23.510336441063373
pair_00274,2020-09-24 13:14:05.268,6784,log001.txt,0.0,10.13376570733726
pair_00275,2020-09-24 13:14:06.268,6808,log001.txt,0.0,37.29225780301704
pair_00276,2020-09-24 13:14:07.268,6833,log001.txt,0.0,23.91568706934777
pair_00277,2020-09-24 13:14:08.268,6858,log001.txt,0.0,10.539116335621657
pair_00278,2020-09-24 13:14:09.268,6882,log001.txt,0.0,37.69760843130143
pair_00279,2020-09-24 13:14:10.268,6907,log001.txt,0.0,24.321037697632164
pair_00280,2020-09-24 13:14:11.268,6932,log001.txt,0.0,10.944466963962896
pair_00281,2020-09-24 13:14:12.268,6956,log001.txt,0.0,38.10295905958583
pair_00282,2020-09-24 13:14:13.268,6981,log001.txt,0.0,24.72638832591656
pair_00283,2020-09-24 13:14:14.268,7006,log001.txt,0.0,11.349817592247293
pair_00284,2020-09-24 13:14:15.268,7030,log001.txt,0.0,38.50830968792707
pair_00285,2020-09-24 13:14:16.268,7055,log001.txt,0.0,25.131738954200955
pair_00286,2020-09-24 13:14:17.268,7080,log001.txt,0.0,11.755168220531688
pair_00287,2020-09-24 13:14:18.268,7104,log001.txt,0.0,38.91366031621146
pair_00288,2020-09-24 13:14:19.268,7129,log001.txt,0.0,25.53708958248535
pair_00289,2020-09-24 13:14:20.268,7154,log001.txt,0.0,12.160518848816082
pair_00290,2020-09-24 13:14:21.268,7178,log001.txt,0.0,39.31901094449586
pair_00291,2020-09-24 13:14:22.268,7203,log001.txt,0.0,25.94244021082659
pair_00292,2020-09-24 13:14:23.268,7228,log001.txt,0.0,12.565869477100478
pair_00293,2020-09-24 13:14:24.268,7252,log001.txt,0.0,39.72436157278025
pair_00294,2020-09-24 13:14:25.268,7277,log001.txt,0.0,26.347790839110985
pair_00295,2020-09-24 13:14:26.268,7302,log001.txt,0.0,12.971220105384871
pair_00296,2020-09-24 13:14:27.268,7326,log001.txt,0.0,40.12971220106465
pair_00297,2020-09-24 13:14:28.268,7351,log001.txt,0.0,26.75314146739538
pair_00298,2020-09-24 13:14:29.268,7376,log001.txt,0.0,13.376570733726112
pair_00299,2020-09-24 13:14:30.268,7401,log001.txt,0.0,0.0
pair_00300,2020-09-24 13:14:31.268,7425,log001.txt,0.0,27.158492095679776
pair_00301,2020-09-24 13:14:32.268,7450,log001.txt,0.0,13.781921362010507
pair_00302,2020-09-24 13:14:33.268,7475,log001.txt,0.0,0.4053506283412389
pair_00303,2020-09-24 13:14:34.268,7499,log001.txt,0.0,27.56384272396417
pair_00304,2020-09-24 13:14:35.268,7524,log001.txt,0.0,14.187271990294905
pair_00305,2020-09-24 13:14:36.268,7549,log001.txt,0.0,0.8107012566256344
pair_00306,2020-09-24 13:14:37.268,7573,log001.txt,0.0,27.969193352248567
pair_00307,2020-09-24 13:14:38.268,7598,log001.txt,0.0,14.592622618579298
pair_00308,2020-09-24 13:14:39.268,7623,log001.txt,0.0,1.21605188491003
pair_00309,2020-09-24 13:14:40.268,7647,log001.txt,0.0,28.37454398058981
pair_00310,2020-09-24 13:14:41.268,7672,log001.txt,0.0,14.997973246863694
pair_00311,2020-09-24 13:14:42.268,7697,log001.txt,0.0,1.6214025131944254
pair_00312,2020-09-24 13:14:43.268,7721,log001.txt,0.0,28.7798946088742
pair_00313,2020-09-24 13:14:44.268,7746,log001.txt,0.0,15.40332387514809
pair_00314,2020-09-24 13:14:45.268,7771,log001.txt,0.0,2.026753141478821
pair_00315,2020-09-24 13:14:46.268,7795,log001.txt,0.0,29.1852452371586
pair_00316,2020-09-24 13:14:47.268,7820,log001.txt,0.0,15.808674503489328
pair_00317,2020-09-24 13:14:48.268,7845,log001.txt,0.0,2.4321037697632164
pair_00318,2020-09-24 13:14:49.268,7869,log001.txt,0.0,29.590595865442992
pair_00319,2020-09-24 13:14:50.268,7894,log001.txt,0.0,16.214025131773724
pair_00320,2020-09-24 13:14:51.268,7919,log001.txt,0.0,2.8374543981044558
pair_00321,2020-09-24 13:14:52.268,7943,log001.txt,0.0,29.995946493727388
pair_00322,2020-09-24 13:14:53.268,7968,log001.txt,0.0,16.61937576005812
pair_00323,2020-09-24 13:14:54.268,7993,log001.txt,0.0,3.242805026388851
pair_00324,2020-09-24 13:14:55.268,8017,log001.txt,0.0,30.401297122011783
pair_00325,2020-09-24 13:14:56.268,8042,log001.txt,0.0,17.024726388342515
pair_00326,2020-09-24 13:14:57.268,8067,log001.txt,0.0,3.6481556546732463
pair_00327,2020-09-24 13:14:58.268,8091,log001.txt,0.0,30.806647750353022
pair_00328,2020-09-24 13:14:59.268,8116,log001.txt,0.0,17.43007701662691
pair_00329,2020-09-24 13:15:00.268,8141,log002.txt,0.0,4.053506282957642
pair_00330,2020-09-24 13:15:01.268,8165,log002.txt,0.0,31.211998378637418
pair_00331,2020-09-24 13:15:02.268,8190,log002.txt,0.0,17.835427644911306
pair_00332,2020-09-24 13:15:03.268,8215,log002.txt,0.0,4.458856911242037
pair_00333,2020-09-24 13:15:04.268,8239,log002.txt,0.0,31.617349006921813
pair_00334,2020-09-24 13:15:05.268,8264,log002.txt,0.0,18.240778273252545
pair_00335,2020-09-24 13:15:06.268,8289,log002.txt,0.0,4.864207539526433
pair_00336,2020-09-24 13:15:07.268,8313,log002.txt,0.0,32.02269963520621
pair_00337,2020-09-24 13:15:08.268,8338,log002.txt,0.0,18.64612890153694
pair_00338,2020-09-24 13:15:09.268,8363,log002.txt,0.0,5.269558167810828
pair_00339,2020-09-24 13:15:10.268,8387,log002.txt,0.0,32.428050263490604
pair_00340,2020-09-24 13:15:11.268,8412,log002.txt,0.0,19.051479529821336
pair_00341,2020-09-24 13:15:12.268,8437,log002.txt,0.0,5.674908796152067
pair_00342,2020-09-24 13:15:13.268,8461,log002.txt,0.0,32.833400891775
pair_00343,2020-09-24 13:15:14.268,8486,log002.txt,0.0,19.45683015810573
pair_00344,2020-09-24 13:15:15.268,8511,log002.txt,0.0,6.080259424436463
pair_00345,2020-09-24 13:15:16.268,8535,log002.txt,0.0,33.23875152011624
pair_00346,2020-09-24 13:15:17.268,8560,log002.txt,0.0,19.862180786390127
pair_00347,2020-09-24 13:15:18.268,8585,log002.txt,0.0,6.485610052720858
pair_00348,2020-09-24 13:15:19.268,8609,log002.txt,0.0,33.644102148400634
pair_00349,2020-09-24 13:15:20.268,8634,log002.txt,0.0,20.26753141467452
pair_00350,2020-09-24 13:15:21.268,8659,log002.txt,0.0,6.890960681005254
pair_00351,2020-09-24 13:15:22.268,8683,log002.txt,0.0,34.04945277668503
pair_00352,2020-09-24 13:15:23.268,8708,log002.txt,0.0,20.67288204301576
pair_00353,2020-09-24 13:15:24.268,8733,log002.txt,0.0,7.296311309289649
pair_00354,2020-09-24 13:15:25.268,8757,log002.txt,0.0,34.454803404969425
pair_00355,2020-09-24 13:15:26.268,8782,log002.txt,0.0,21.07823267130016
pair_00356,2020-09-24 13:15:27.268,8807,log002.txt,0.0,7.701661937574045
pair_00357,2020-09-24 13:15:28.268,8831,log002.txt,0.0,34.86015403325382
pair_00358,2020-09-24 13:15:29.268,8856,log002.txt,0.0,21.483583299584552
pair_00359,2020-09-24 13:15:30.268,8881,log002.txt,0.0,8.107012565915284
pair_00360,2020-09-24 13:15:31.268,8905,log002.txt,0.0,35.265504661538216
pair_00361,2020-09-24 13:15:32.268,8930,log002.txt,0.0,21.888933927868948
pair_00362,2020-09-24 13:15:33.268,8955,log002.txt,0.0,8.51236319419968
pair_00363,2020-09-24 13:15:34.268,8979,log002.txt,0.0,35.67085528982261
pair_00364,2020-09-24 13:15:35.268,9004,log002.txt,0.0,22.294284556153343
pair_00365,2020-09-24 13:15:36.268,9029,log002.txt,0.0,8.917713822484075
pair_00366,2020-09-24 13:15:37.268,9053,log002.txt,0.0,36.07620591816385
pair_00367,2020-09-24 13:15:38.268,9078,log002.txt,0.0,22.69963518443774
pair_00368,2020-09-24 13:15:39.268,9103,log002.txt,0.0,9.32306445076847
pair_00369,2020-09-24 13:15:40.268,9127,log002.txt,0.0,36.481556546448246
pair_00370,2020-09-24 13:15:41.268,9152,log002.txt,0.0,23.104985812778978
pair_00371,2020-09-24 13:15:42.268,9177,log002.txt,0.0,9.728415079052866
pair_00372,2020-09-24 13:15:43.268,9201,log002.txt,0.0,36.88690717473264
pair_00373,2020-09-24 13:15:44.268,9226,log002.txt,0.0,23.510336441063373
pair_00374,2020-09-24 13:15:45.268,9251,log002.txt,0.0,10.13376570733726
pair_00375,2020-09-24 13:15:46.268,9275,log002.txt,0.0,37.29225780301704
pair_00376,2020-09-24 13:15:47.268,9300,log002.txt,0.0,23.91568706934777
pair_00377,2020-09-24 13:15:48.268,9325,log002.txt,0.0,10.5391163356785
pair_00378,2020-09-24 13:15:49.268,9349,log002.txt,0.0,37.69760843130143
pair_00379,2020-09-24 13:15:50.268,9374,log002.txt,0.0,24.321037697632164
pair_00380,2020-09-24 13:15:51.268,9399,log002.txt,0.0,10.944466963962896
pair_00381,2020-09-24 13:15:52.268,9423,log002.txt,0.0,38.10295905958583
pair_00382,2020-09-24 13:15:53.268,9448,log002.txt,0.0,24.72638832591656
pair_00383,2020-09-24 13:15:54.268,9473,log002.txt,0.0,11.349817592247293
pair_00384,2020-09-24 13:15:55.268,9497,log002.txt,0.0,38.50830968792707
pair_00385,2020-09-24 13:15:56.268,9522,log002.txt,0.0,25.131738954200955
pair_00386,2020-09-24 13:15:57.268,9547,log002.txt,0.0,11.755168220531688
pair_00387,2020-09-24 13:15:58.268,9571,log002.txt,0.0,38.91366031621146
pair_00388,2020-09-24 13:15:59.268,9596,log002.txt,0.0,25.537089582542198
pair_00389,2020-09-24 13:16:00.268,9621,log002.txt,0.0,12.160518848816082
pair_00390,2020-09-24 13:16:01.268,9645,log002.txt,0.0,39.31901094449586
pair_00391,2020-09-24 13:16:02.268,9670,log002.txt,0.0,25.94244021082659
pair_00392,2020-09-24 13:16:03.268,9695,log002.txt,0.0,12.565869477100478
pair_00393,2020-09-24 13:16:04.268,9719,log002.txt,0.0,39.72436157278025
pair_00394,2020-09-24 13:16:05.268,9744,log002.txt,0.0,26.347790839110985
pair_00395,2020-09-24 13:16:06.268,9769,log002.txt,0.0,12.971220105441716
pair_00396,2020-09-24 13:16:07.268,9793,log002.txt,0.0,40.12971220106465
pair_00397,2020-09-24 13:16:08.268,9818,log002.txt,0.0,26.75314146739538
pair_00398,2020-09-24 13:16:09.268,9843,log002.txt,0.0,13.376570733726112
pair_00399,2020-09-24 13:16:10.268,9868,log002.txt,0.0,0.0
pair_00400,2020-09-24 13:16:11.268,9892,log002.txt,0.0,27.158492095679776
pair_00401,2020-09-24 13:16:12.268,9917,log002.txt,0.0,13.781921362010507
pair_00402,2020-09-24 13:16:13.268,9942,log002.txt,0.0,0.4053506283412389
pair_00403,2020-09-24 13:16:14.268,9966,log002.txt,0.0,27.56384272396417
pair_00404,2020-09-24 13:16:15.268,9991,log002.txt,0.0,14.187271990294905
pair_00405,2020-09-24 13:16:16.268,10016,log002.txt,0.0,0.8107012566256344
pair_00406,2020-09-24 13:16:17.268,10040,log002.txt,0.0,27.96919335230541
pair_00407,2020-09-24 13:16:18.268,10065,log002.txt,0.0,14.592622618579298
pair_00408,2020-09-24 13:16:19.268,10090,log002.txt,0.0,1.21605188491003
pair_00409,2020-09-24 13:16:20.268,10114,log002.txt,0.0,28.37454398058981
pair_00410,2020-09-24 13:16:21.268,10139,log002.txt,0.0,14.997973246863694
pair_00411,2020-09-24 13:16:22.268,10164,log002.txt,0.0,1.6214025131944254
pair_00412,2020-09-24 13:16:23.268,10188,log002.txt,0.0,28.7798946088742
pair_00413,2020-09-24 13:16:24.268,10213,log002.txt,0.0,15.403323875204933
pair_00414,2020-09-24 13:16:25.268,10238,log002.txt,0.0,2.026753141478821
pair_00415,2020-09-24 13:16:26.268,10262,log002.txt,0.0,29.1852452371586
pair_00416,2020-09-24 13:16:27.268,10287,log002.txt,0.0,15.808674503489328
pair_00417,2020-09-24 13:16:28.268,10312,log002.txt,0.0,2.4321037697632164
pair_00418,2020-09-24 13:16:29.268,10336,log002.txt,0.0,29.590595865442992
pair_00419,2020-09-24 13:16:30.268,10361,log002.txt,0.0,16.214025131773724
pair_00420,2020-09-24 13:16:31.268,10386,log002.txt,0.0,2.8374543981044558
pair_00421,2020-09-24 13:16:32.268,10410,log002.txt,0.0,29.995946493727388
pair_00422,2020-09-24 13:16:33.268,10435,log002.txt,0.0,16.61937576005812
pair_00423,2020-09-24 13:16:34.268,10460,log002.txt,0.0,3.242805026388851
pair_00424,2020-09-24 13:16:35.268,10484,log002.txt,0.0,30.401297122011783
pair_00425,2020-09-24 13:16:36.268,10509,log002.txt,0.0,17.024726388342515
pair_00426,2020-09-24 13:16:37.268,10534,log002.txt,0.0,3.6481556546732463
pair_00427,2020-09-24 13:16:38.268,10558,log002.txt,0.0,30.806647750353022
pair_00428,2020-09-24 13:16:39.268,10583,log002.txt,0.0,17.43007701662691
pair_00429,2020-09-24 13:16:40.268,10608,log002.txt,0.0,4.053506282957642
pair_00430,2020-09-24 13:16:41.268,10632,log002.txt,0.0,31.211998378637418
pair_00431,2020-09-24 13:16:42.268,10657,log002.txt,0.0,17.83542764496815
pair_00432,2020-09-24 13:16:43.268,10682,log002.txt,0.0,4.458856911242037
pair_00433,2020-09-24 13:16:44.268,10706,log002.txt,0.0,31.617349006921813
pair_00434,2020-09-24 13:16:45.268,10731,log002.txt,0.0,18.240778273252545
pair_00435,2020-09-24 13:16:46.268,10756,log002.txt,0.0,4.864207539526433
pair_00436,2020-09-24 13:16:47.268,10780,log002.txt,0.0,32.02269963520621
pair_00437,2020-09-24 13:16:48.268,10805,log002.txt,0.0,18.64612890153694
pair_00438,2020-09-24 13:16:49.268,10830,log002.txt,0.0,5.269558167867672
pair_00439,2020-09-24 13:16:50.268,10854,log002.txt,0.0,32.428050263490604
pair_00440,2020-09-24 13:16:51.268,10879,log002.txt,0.0,19.051479529821336
